id,COL1,COL2,COL3,COL4,LABEL
191,5,6,7,1,YES
192,6,3,9,4,NO
193,4,10,9,9,NO
194,4,5,9,4,NO
195,1,1,7,0,YES
196,4,2,3,5,NO
197,6,9,6,10,YES
198,9,2,2,1,NO
199,1,6,4,10,YES
200,7,2,6,7,NO
201,9,2,5,8,NO
202,2,5,8,6,YES
203,7,7,1,3,NO
204,5,9,1,2,YES
205,2,5,0,5,NO
206,3,2,5,5,YES
207,9,0,3,6,NO
208,4,6,9,9,NO
209,7,5,5,1,NO
210,3,2,3,4,NO
211,4,10,6,5,YES
212,8,4,9,1,NO
213,4,9,3,0,NO
214,2,9,8,9,NO
215,4,8,2,8,NO
216,6,1,8,7,NO
217,9,2,2,7,NO
218,3,3,6,1,YES
219,3,5,2,9,YES
220,4,3,8,1,NO
221,6,8,6,8,NO
222,6,9,2,8,YES
223,6,8,6,6,NO
224,1,8,5,3,YES
225,4,1,3,2,NO
226,6,5,4,9,NO
227,6,1,4,9,NO
228,7,7,8,10,NO
229,3,0,1,5,YES
230,5,4,1,5,YES
231,7,0,9,10,NO
232,6,8,7,9,NO
233,6,6,9,2,YES
234,7,2,2,5,NO
235,2,1,1,9,YES
236,8,7,8,7,NO
237,8,1,5,2,NO
238,3,10,2,8,YES
239,5,3,8,4,NO
240,5,8,9,1,YES
241,8,4,9,4,YES
242,4,6,9,4,YES
243,6,0,3,1,NO
244,8,3,9,9,YES
245,10,3,3,3,YES
246,6,6,2,2,NO
247,5,9,1,8,YES
248,4,2,5,7,NO
249,2,6,2,9,YES
250,9,6,2,1,NO
251,5,6,3,5,YES
252,4,2,4,5,YES
253,5,5,5,9,NO
254,4,6,1,2,YES
255,6,6,4,1,YES
256,7,2,3,7,YES
257,7,3,7,2,YES
258,3,8,6,2,YES
259,10,2,5,7,NO
260,6,8,3,6,YES
261,6,1,2,1,NO
262,2,0,6,3,YES
263,5,8,4,3,NO
264,6,0,6,7,YES
265,9,1,9,6,YES
266,8,3,10,6,YES
267,6,6,9,2,YES
268,6,9,9,1,YES
269,2,6,4,5,YES
270,2,6,6,8,NO
271,7,7,2,3,YES
272,2,6,0,2,NO
273,9,6,8,6,YES
274,5,1,5,9,NO
275,2,1,4,9,NO
276,2,6,10,1,YES
277,9,5,9,3,NO
278,7,8,1,4,NO
279,1,1,4,0,NO
280,2,3,10,2,YES
281,7,4,3,3,YES
282,10,2,8,7,YES
283,4,7,1,9,YES
284,1,3,7,2,YES
285,6,5,1,3,YES
286,8,4,8,8,NO
287,8,2,5,5,NO
288,8,1,7,2,NO
289,10,6,8,8,NO
290,2,9,1,0,NO
291,1,1,7,7,NO
292,5,10,3,6,NO
293,7,7,5,8,YES
294,3,8,0,9,NO
295,3,6,10,8,YES
296,1,7,3,7,NO
297,7,5,0,9,YES
298,7,9,7,4,YES
299,2,10,3,6,YES
300,5,8,7,5,YES
301,8,7,6,4,YES
302,4,2,10,5,YES
303,3,5,10,1,YES
304,1,8,6,8,YES
305,5,10,0,6,YES
306,3,1,9,1,NO
307,2,7,6,1,NO
308,8,4,3,9,NO
309,7,8,6,9,NO
310,10,1,1,4,NO
311,5,8,4,4,YES
312,6,9,2,4,YES
313,9,10,9,1,YES
314,7,9,2,4,NO
315,3,9,5,8,YES
316,4,7,4,4,YES
317,7,2,3,0,NO
318,4,0,3,0,YES
319,7,10,9,7,YES
320,3,4,7,5,YES
321,5,8,9,6,NO
322,0,9,5,10,NO
323,8,1,5,5,YES
324,1,9,4,8,NO
325,8,1,2,2,YES
326,6,8,3,6,YES
327,3,5,8,2,NO
328,7,10,3,5,YES
329,7,9,7,7,NO
330,4,1,4,8,YES
331,7,8,5,8,NO
332,8,5,9,7,YES
333,4,7,4,6,YES
334,9,8,8,4,YES
335,3,8,8,8,YES
336,1,6,5,6,NO
337,6,1,0,1,NO
338,1,2,6,10,YES
339,2,6,1,7,NO
340,6,3,6,8,YES
341,3,2,2,8,YES
342,4,7,6,3,NO
343,3,6,4,7,NO
344,5,6,7,7,YES
345,3,2,3,7,YES
346,6,9,6,8,YES
347,10,3,1,2,NO
348,7,10,2,7,NO
349,6,6,2,5,YES
350,4,7,6,7,NO
351,8,0,5,9,NO
352,9,3,8,2,NO
353,5,5,5,6,YES
354,7,5,5,7,NO
355,2,1,2,0,YES
356,5,4,6,2,YES
357,5,3,6,6,NO
358,1,6,9,2,NO
359,2,4,7,3,NO
360,8,2,3,3,NO
361,3,2,4,1,NO
362,1,10,9,5,YES
363,4,4,0,4,NO
364,5,4,8,10,YES
365,2,9,6,9,NO
366,6,3,9,8,NO
367,2,9,2,8,YES
368,5,6,9,4,NO
369,8,8,7,3,NO
370,1,8,7,6,NO
371,4,3,1,6,NO
372,3,6,3,8,NO
373,7,7,2,7,YES
374,9,2,1,9,YES
375,4,9,2,4,YES
376,7,4,5,9,YES
377,4,5,4,4,YES
378,0,7,2,7,NO
379,10,9,8,3,NO
380,5,0,1,6,NO
381,2,2,3,0,YES
382,5,2,6,8,YES
383,9,9,6,0,NO
384,1,2,10,0,YES
385,2,7,4,2,YES
386,3,1,0,1,YES
387,8,3,6,3,NO
388,0,7,9,2,NO
389,4,2,4,5,YES
390,0,3,10,9,NO
391,2,7,1,8,NO
392,2,2,9,4,YES
393,7,6,3,6,NO
394,8,6,3,2,YES
395,8,3,9,7,YES
396,2,6,5,5,NO
397,3,2,9,5,YES
398,7,5,2,3,YES
399,6,7,8,7,NO
400,3,8,3,2,NO
401,3,2,6,0,YES
402,6,7,9,7,YES
403,1,8,7,9,YES
404,1,7,2,2,NO
405,6,5,3,3,YES
406,9,9,5,6,YES
407,5,5,2,5,YES
408,7,8,8,4,YES
409,6,7,7,1,YES
410,5,1,5,9,NO
411,8,1,9,4,NO
412,8,4,0,1,YES
413,3,2,7,7,YES
414,7,7,6,5,YES
415,4,5,3,9,YES
416,10,0,7,1,NO
417,6,7,3,8,NO
418,2,5,8,4,YES
419,8,3,8,2,YES
420,2,2,7,6,YES
421,0,8,1,6,YES
422,6,9,9,0,NO
423,6,10,1,3,NO
424,1,1,8,3,YES
425,9,9,2,10,NO
426,6,4,3,9,NO
427,10,3,6,8,YES
428,5,0,7,8,NO
429,9,5,0,2,NO
430,4,1,10,7,NO
431,7,1,1,5,NO
432,4,6,8,9,YES
433,2,0,1,4,YES
434,8,6,2,2,NO
435,2,8,3,8,YES
436,1,0,9,3,YES
437,4,1,0,6,YES
438,4,7,3,7,YES
439,8,7,8,3,NO
440,0,6,4,5,YES
441,6,9,3,6,NO
442,1,2,3,0,NO
443,1,2,9,3,YES
444,4,8,9,4,YES
445,8,9,9,9,YES
446,8,4,2,1,YES
447,4,4,2,6,NO
448,2,1,9,3,YES
449,5,5,9,1,NO
450,7,5,6,7,YES
451,9,9,0,4,NO
452,5,3,8,1,YES
453,2,9,7,8,NO
454,3,8,2,8,YES
455,5,2,5,2,NO
456,3,6,8,7,NO
457,5,4,2,2,YES
458,4,6,7,5,NO
459,1,6,2,1,NO
460,0,6,8,9,YES
461,7,6,1,9,YES
462,8,6,7,4,YES
463,4,10,3,3,NO
464,1,9,5,6,YES
465,7,5,4,7,YES
466,1,7,10,6,NO
467,6,5,0,8,YES
468,6,7,3,8,NO
469,3,5,5,9,NO
470,7,7,2,8,NO
471,1,0,1,2,NO
472,2,8,2,9,YES
473,5,2,9,4,NO
474,10,7,9,9,YES
475,10,5,3,3,YES
476,1,1,10,7,YES
477,2,4,10,6,NO
478,3,8,6,4,YES
479,9,2,9,3,YES
480,1,6,2,5,NO
481,5,8,6,2,YES
482,1,1,5,1,NO
483,0,10,8,6,NO
484,8,4,7,3,NO
485,3,2,8,0,YES
486,8,5,1,4,NO
487,3,9,6,5,YES
488,7,1,0,4,NO
489,4,1,7,5,YES
490,6,3,4,1,NO
491,3,2,1,4,NO
492,4,5,4,8,YES
493,5,6,5,6,NO
494,1,7,7,2,YES
495,8,5,6,8,YES
496,8,7,0,1,NO
497,4,5,9,5,YES
498,2,5,3,8,NO
499,1,10,7,2,NO
500,4,9,7,6,NO
501,4,0,2,9,YES
502,0,1,6,3,NO
503,6,3,3,4,NO
504,5,6,5,2,NO
505,2,10,6,3,YES
506,6,6,4,8,NO
507,5,6,10,4,YES
508,10,8,5,6,YES
509,6,7,4,1,NO
510,2,2,0,8,NO
511,7,7,6,8,NO
512,8,0,4,10,NO
513,2,6,8,3,YES
514,9,5,2,2,NO
515,1,3,3,3,NO
516,7,4,8,3,NO
517,1,6,3,9,YES
518,2,6,2,3,YES
519,2,6,10,1,YES
520,9,5,7,5,NO
521,9,5,9,6,YES
522,10,4,6,1,YES
523,1,1,8,6,NO
524,3,9,1,2,YES
525,3,2,9,2,NO
526,9,2,2,3,NO
527,1,2,5,5,YES
528,1,8,1,2,NO
529,9,5,8,1,YES
530,1,6,3,1,YES
531,7,6,0,6,YES
532,7,6,3,9,YES
533,9,5,9,9,NO
534,10,7,3,7,YES
535,10,8,5,9,NO
536,8,9,2,3,NO
537,7,1,8,3,YES
538,3,1,1,9,NO
539,6,10,2,0,NO
540,3,1,4,3,YES
541,0,8,5,2,YES
542,3,10,0,7,NO
543,4,3,5,2,NO
544,1,4,3,5,YES
545,4,6,4,3,YES
546,1,0,9,10,NO
547,4,1,6,1,NO
548,1,10,3,3,YES
549,9,7,4,6,NO
550,3,4,6,5,NO
551,8,1,3,1,YES
552,0,6,5,7,NO
553,6,5,5,7,YES
554,1,8,1,5,YES
555,4,4,4,8,NO
556,8,10,7,9,NO
557,6,3,1,9,YES
558,9,7,4,3,YES
559,4,8,7,8,YES
560,9,8,8,4,YES
561,0,1,3,7,YES
562,1,4,7,7,YES
563,9,1,7,10,YES
564,10,7,9,9,YES
565,8,5,5,4,NO
566,2,3,8,2,YES
567,5,5,2,4,NO
568,5,7,3,4,YES
569,5,1,6,1,YES
570,5,5,6,7,YES
571,9,4,7,3,YES
572,5,7,9,1,NO
573,5,3,6,4,NO
574,4,6,3,7,NO
575,3,8,8,3,NO
576,5,9,6,4,NO
577,2,6,5,3,NO
578,4,5,6,2,YES
579,2,6,9,6,YES
580,5,10,8,5,NO
581,2,4,7,0,YES
582,1,7,2,1,YES
583,2,9,6,7,NO
584,2,2,5,4,YES
585,8,10,9,1,NO
586,8,3,10,5,NO
587,6,5,0,4,YES
588,2,9,8,3,NO
589,10,0,3,8,YES
590,4,5,5,10,NO
591,6,8,7,6,YES
592,2,1,9,2,NO
593,7,2,4,3,NO
594,2,5,1,6,NO
595,3,0,2,5,NO
596,4,7,2,9,NO
597,0,8,1,6,YES
598,6,7,8,8,YES
599,1,0,4,6,YES
600,8,5,6,7,NO
601,7,10,9,4,NO
602,4,3,10,1,NO
603,10,7,2,5,NO
604,0,4,10,10,NO
605,10,8,4,3,YES
606,7,8,5,5,YES
607,1,3,4,5,YES
608,10,6,4,4,NO
609,10,2,8,6,NO
610,3,5,5,8,YES
611,6,7,5,5,YES
612,8,10,7,5,NO
613,6,4,7,7,NO
614,8,1,9,4,NO
615,3,1,6,8,NO
616,9,9,3,2,YES
617,2,10,1,3,NO
618,2,2,4,1,YES
619,1,7,9,3,NO
620,6,4,10,0,NO
621,5,9,9,6,YES
622,2,1,2,7,NO
623,2,2,5,1,NO
624,5,1,4,4,NO
625,5,4,3,6,NO
626,6,5,7,2,NO
627,5,10,5,5,YES
628,0,2,7,3,NO
629,7,4,3,3,YES
630,1,7,4,5,YES
631,1,5,5,8,YES
632,9,8,2,7,NO
633,10,6,6,7,YES
634,6,7,7,8,NO
635,2,10,9,8,YES
636,5,1,9,8,YES
637,1,1,5,3,NO
638,9,0,2,9,NO
639,5,8,6,4,YES
640,5,0,2,0,YES
641,1,7,6,3,YES
642,2,5,2,7,NO
643,8,8,5,2,YES
644,8,9,4,7,NO
645,7,9,2,7,YES
646,1,3,6,9,YES
647,2,7,1,8,NO
648,3,2,0,5,NO
649,6,7,2,7,NO
650,0,7,1,4,NO
651,8,6,4,10,NO
652,0,2,9,8,YES
653,4,2,2,6,NO
654,6,3,8,1,NO
655,10,0,2,6,NO
656,1,8,8,10,YES
657,5,3,2,9,YES
658,6,7,4,6,YES
659,2,8,1,4,YES
660,9,2,8,10,YES
661,3,8,1,3,YES
662,0,2,2,4,NO
663,1,5,1,6,YES
664,5,8,7,10,NO
665,7,1,9,6,YES
666,0,4,6,9,YES
667,2,8,6,2,NO
668,7,10,2,6,YES
669,4,5,8,1,NO
670,1,7,4,1,YES
671,0,2,6,1,YES
672,7,8,4,5,NO
673,9,4,9,2,NO
674,4,6,7,5,NO
675,7,2,2,8,YES
676,6,7,5,2,NO
677,5,5,7,6,YES
678,1,3,0,4,NO
679,10,1,2,2,YES
680,9,4,2,7,NO
681,4,3,1,9,YES
682,8,6,3,8,YES
683,0,3,3,2,NO
684,10,3,9,8,NO
685,7,6,1,3,YES
686,7,2,3,3,YES
687,1,9,8,8,NO
688,1,6,2,7,NO
689,8,6,0,1,YES
690,8,4,0,3,YES
691,6,9,9,3,YES
692,9,8,9,3,YES
693,8,4,6,7,YES
694,3,0,6,8,YES
695,6,9,2,4,YES
696,5,2,2,6,YES
697,9,2,2,5,NO
698,2,2,10,9,YES
699,10,1,7,7,YES
700,3,6,8,6,YES
701,3,1,1,1,NO
702,9,6,0,10,YES
703,5,4,1,5,YES
704,8,7,4,5,NO
705,5,1,6,10,NO
706,8,0,4,3,YES
707,9,1,6,7,YES
708,5,8,8,3,NO
709,9,8,3,1,YES
710,4,9,0,4,YES
711,7,7,3,9,NO
712,0,9,5,0,NO
713,3,3,7,7,NO
714,6,5,7,5,YES
715,8,7,5,8,NO
716,7,8,6,2,YES
717,1,2,2,3,NO
718,3,10,5,3,YES
719,1,0,1,4,NO
720,1,9,4,9,YES
721,0,4,9,1,NO
722,1,4,5,6,NO
723,3,8,8,9,NO
724,7,3,1,8,YES
725,9,1,0,5,YES
726,8,5,9,8,NO
727,5,2,4,9,NO
728,9,6,8,2,YES
729,6,5,10,6,YES
730,10,9,8,1,NO
731,2,6,6,0,NO
732,3,9,3,7,NO
733,9,3,9,6,YES
734,3,4,7,0,NO
735,1,0,4,7,NO
736,6,7,8,1,NO
737,0,5,0,2,YES
738,9,2,2,3,NO
739,7,8,9,5,YES
740,6,8,5,4,YES
741,2,6,8,5,YES
742,5,3,3,2,YES
743,6,1,3,8,NO
744,7,7,7,5,NO
745,7,2,9,4,NO
746,4,4,2,0,NO
747,1,7,10,1,YES
748,5,4,8,3,NO
749,8,6,8,1,YES
750,4,5,1,10,NO
751,4,9,6,9,NO
752,9,3,6,2,NO
753,9,7,10,6,NO
754,5,4,9,4,NO
755,5,5,6,4,NO
756,8,5,10,3,NO
757,3,7,2,9,YES
758,5,6,8,7,NO
759,0,7,1,5,YES
760,3,2,2,5,NO
761,5,4,9,6,NO
762,6,10,1,5,NO
763,9,4,4,8,YES
764,0,10,2,10,NO
765,3,5,0,5,YES
766,4,5,9,2,NO
767,3,0,9,5,YES
768,10,8,1,7,NO
769,6,6,2,2,NO
770,2,4,9,4,YES
771,3,10,6,9,NO
772,10,2,5,7,NO
773,9,7,10,6,NO
774,4,5,5,3,YES
775,8,3,4,4,YES
776,2,2,3,3,NO
777,9,1,10,9,YES
778,5,8,2,2,YES
779,8,2,4,8,NO
780,4,0,1,4,YES
781,2,2,5,9,NO
782,1,5,5,2,YES
783,7,3,4,4,NO
784,5,2,2,9,NO
785,3,9,7,5,NO
786,1,8,10,9,NO
787,9,5,2,2,NO
788,10,7,3,5,YES
789,1,8,5,9,YES
790,4,3,6,3,NO
791,9,5,7,5,NO
792,1,7,9,6,YES
793,6,4,3,4,YES
794,5,9,9,6,YES
795,8,6,8,1,YES
796,7,6,5,7,YES
797,9,3,9,8,YES
798,2,4,6,3,YES
799,8,9,5,7,YES
800,4,9,1,4,NO
801,8,4,7,9,NO
802,3,5,4,9,YES
803,6,3,9,7,YES
804,2,5,2,6,YES
805,1,4,2,0,YES
806,7,4,1,0,NO
807,6,9,9,7,YES
808,10,0,5,7,NO
809,6,3,9,6,NO
810,5,9,6,10,NO
811,0,9,4,6,YES
812,7,1,7,2,YES
813,4,4,0,1,YES
814,0,4,2,3,YES
815,4,5,5,9,YES
816,2,1,6,3,NO
817,8,1,1,6,NO
818,8,4,1,6,YES
819,8,7,6,6,YES
820,0,1,1,7,YES
821,8,2,8,4,NO
822,7,1,4,5,YES
823,7,10,4,6,YES
824,1,1,0,7,YES
825,6,8,1,7,NO
826,1,7,3,0,YES
827,9,7,1,5,NO
828,5,5,2,7,YES
829,7,7,6,3,YES
830,4,6,3,4,YES
831,6,5,5,1,YES
832,1,7,3,2,YES
833,5,8,5,6,NO
834,1,6,2,2,YES
835,10,7,8,0,YES
836,8,8,6,3,YES
837,6,2,4,5,YES
838,9,6,7,10,NO
839,1,8,5,4,NO
840,9,4,7,5,YES
841,3,7,8,1,YES
842,2,5,3,4,NO
843,9,2,2,5,NO
844,4,0,0,5,YES
845,7,8,10,10,YES
846,3,1,4,5,YES
847,8,2,9,9,NO
848,6,10,7,3,NO
849,7,1,4,5,YES
850,0,1,7,10,NO
851,3,3,1,1,NO
852,6,2,10,4,NO
853,7,9,9,6,YES
854,8,8,7,5,NO
855,2,7,2,9,NO
856,4,7,2,10,YES
857,6,0,4,4,NO
858,10,5,4,4,YES
859,2,9,1,1,YES
860,5,7,1,3,NO
861,3,6,0,1,NO
862,1,7,1,5,NO
863,5,0,5,8,NO
864,6,3,7,6,NO
865,9,9,5,5,NO
866,1,4,9,2,NO
867,2,8,10,4,NO
868,1,9,6,3,YES
869,7,1,0,4,NO
870,0,5,5,6,NO
871,7,9,3,2,YES
872,7,9,2,4,NO
873,5,0,10,4,YES
874,6,4,10,6,NO
875,6,7,2,5,NO
876,5,3,7,2,YES
877,5,8,4,9,NO
878,8,7,10,8,YES
879,8,7,7,2,NO
880,5,1,5,8,YES
881,4,4,1,5,NO
882,9,1,1,9,NO
883,9,4,4,8,YES
884,3,5,3,9,NO
885,3,1,9,4,YES
886,6,5,1,7,YES
887,8,10,9,5,NO
888,2,2,7,4,YES
889,6,8,10,3,YES
890,3,5,3,1,NO
891,9,5,1,10,YES
892,8,8,7,3,NO
893,1,8,1,0,NO
894,10,1,2,6,YES
895,6,4,9,5,NO
896,9,7,9,9,NO
897,4,4,9,5,NO
898,3,9,8,2,NO
899,3,4,8,3,NO
900,5,6,8,4,YES
901,9,7,2,7,YES
902,1,4,1,9,YES
903,5,5,8,8,NO
904,6,6,4,6,NO
905,0,5,6,4,YES
906,0,10,2,9,YES
907,1,4,6,9,NO
908,3,7,7,8,YES
909,8,9,8,2,YES
910,6,7,8,4,YES
911,4,4,7,5,NO
912,10,3,1,3,YES
913,6,8,9,1,NO
914,6,5,4,2,YES
915,2,1,5,7,YES
916,3,5,1,9,NO
917,2,1,10,7,NO
918,10,9,3,4,NO
919,9,4,4,4,YES
920,4,7,1,5,YES
921,5,7,5,1,NO
922,5,3,6,9,YES
923,5,8,2,6,YES
924,2,8,9,1,NO
925,2,8,3,0,YES
926,7,9,7,9,NO
927,7,6,4,7,NO
928,2,8,2,0,NO
929,5,5,8,4,NO
930,0,7,4,3,NO
931,4,8,7,0,YES
932,9,7,8,9,YES
933,4,4,6,6,NO
934,7,7,0,7,YES
935,2,10,6,5,YES
936,2,7,7,9,YES
937,1,2,9,3,YES
938,4,1,0,3,NO
939,10,2,3,1,NO
940,9,4,9,8,NO
941,4,6,4,7,YES
942,2,5,1,4,NO
943,9,9,9,2,YES
944,5,1,6,5,YES
945,6,9,2,1,NO
946,7,5,5,5,NO
947,4,7,9,6,NO
948,8,9,0,9,NO
949,4,2,7,0,YES
950,8,2,4,10,NO
951,3,10,9,8,NO
952,1,0,7,8,NO
953,6,6,6,8,NO
954,0,3,2,5,NO
955,1,4,3,1,YES
956,2,4,4,2,NO
957,5,2,8,2,YES
958,6,5,0,5,NO
959,9,5,8,3,YES
960,9,9,1,7,NO
961,4,1,7,7,YES
962,4,7,3,7,YES
963,2,1,2,5,NO
964,8,1,9,5,YES
965,8,2,5,8,YES
966,7,10,9,7,YES
967,5,10,4,8,YES
968,1,4,1,9,YES
969,2,9,1,8,NO
970,4,8,5,2,YES
971,10,9,7,4,NO
972,5,9,8,5,YES
973,4,8,7,8,YES
974,4,7,1,3,YES
975,5,8,7,5,YES
976,5,2,4,5,NO
977,7,2,6,3,NO
978,3,8,2,9,NO
979,8,4,8,7,YES
980,0,9,4,0,YES
981,3,8,1,2,NO
982,9,3,9,6,YES
983,5,0,2,8,YES
984,3,8,6,2,YES
985,7,7,2,2,NO
986,7,4,1,3,YES
987,9,1,6,2,NO
988,6,0,7,3,NO
989,1,3,4,3,YES
990,3,1,9,7,NO
991,6,6,0,0,NO
992,4,3,3,7,YES
993,5,3,0,3,YES
994,3,4,2,10,YES
995,5,10,10,8,YES
996,0,7,2,1,NO
997,6,4,7,4,YES
998,0,5,10,0,YES
999,5,7,8,1,YES
1000,5,7,4,4,NO
